name,lat,lon,説明,住所
001-1学校給食センター（元横山）北側,139.338137777778,35.665998888889,ポスター掲示場,八王子市元横山町１－２９
001-2第一小学校東側,139.336985277778,35.661187777778,ポスター掲示場,八王子市元横山町２－１４－３
001-3毎日新聞社南側植込,139.333441388889,35.662531111111,ポスター掲示場,八王子市本町２５
001-4元横山公園北側,139.332906111111,35.666289444444,ポスター掲示場,八王子市元横山町３－２４
001-5第一小学校南側,139.336450000000,35.660711388889,ポスター掲示場,八王子市元横山町２－１４－３
001-6妙薬寺北側ブロック塀,139.335225833333,35.663390000000,ポスター掲示場,八王子市元横山町２－１８－１
001-7第一小学校西側,139.335961111111,35.661423888889,ポスター掲示場,八王子市元横山町２－１４－３
001-8芸術文化会館南側植込,139.332312777778,35.662133888889,ポスター掲示場,八王子市本町２４－１



